Unnamed: 0,Generator_speed,Rotor_speed,Gearbox_oil_temperature,Generator_bearing_temperature_drive,Generator_bearing_temperature_nondrive,wind_speed,active_power,category,distance
135,1756.8433899999998,13.37861,67.5,46.6,82.8,8.9194,1608.39862,1,0.6762473527920276
140,1721.3807199999999,13.296570000000001,67.5,46.6,82.8,10.30146,2044.99988,9,1.3521380685651063
145,1747.2086100000001,13.44064,67.5,46.6,82.8,9.90775,1820.04075,3,1.6227886268669842
150,1751.15539,13.394620000000002,67.5,46.6,81.8,8.12937,1458.062,12,1.111201736773899
155,1737.3786300000006,13.40262,67.5,46.6,81.8,8.73282,1581.225,1,1.0699951606362734
160,1756.0029600000007,13.39262,67.5,46.6,81.8,9.045630000000001,1832.1706199999999,1,1.1067656792986678
165,1761.93092,13.400620000000002,67.5,46.6,81.8,9.459589999999999,1684.756,1,0.5272122845168495
170,1755.73268,13.45665,67.5,46.6,80.8,9.66361,1885.10762,3,0.9424997372705292
175,1760.9703600000007,13.384620000000002,67.5,46.6,80.8,9.88252,1872.9875,3,1.1777055081540426
180,1762.5311100000001,13.43864,67.5,46.6,80.8,10.06585,2046.57238,3,1.088076445164859
185,1763.8519,13.414629999999999,67.5,46.6,80.8,9.1838,1628.4855,1,0.3090665761381466
190,1759.6797399999994,13.47466,67.5,46.6,80.8,8.54958,1750.01975,1,1.3197501333821786
195,1760.0399699999994,13.422629999999998,67.5,46.6,79.8,9.24554,1850.09238,1,1.2009096269686244
200,1765.66762,13.44464,67.5,45.6,79.8,8.80428,1767.56425,1,0.9665815605713076
205,1763.1014100000002,13.41063,67.5,45.6,79.8,9.78772,1947.9995,3,0.5002536094062586
210,1737.6789399999998,13.36461,67.5,45.6,79.8,9.087589999999999,1937.5076199999999,3,1.4868983752401468
215,1760.9553399999998,13.496670000000002,67.5,45.6,79.8,10.149189999999999,2060.95512,3,1.3257881731042167
220,1757.38367,13.52268,67.5,45.6,79.8,10.21185,2061.61075,3,1.4669836853614866
225,1736.7033600000002,13.322579999999999,67.5,45.6,79.8,9.48039,2054.5933800000007,3,0.69267284335073
230,1750.5552,13.43264,67.5,45.6,79.8,9.87106,2041.38925,3,0.6578225415137708
235,1750.0449600000006,13.40262,67.5,45.6,79.8,10.112860000000001,1867.1218800000001,3,1.5551232821884182
240,1754.5772,13.42063,67.5,45.6,79.8,9.8617,1620.39412,1,1.339955544438158
245,1741.16052,13.430639999999999,67.5,45.6,79.8,7.65773,971.80044,8,0.9017578819428866
250,1560.89155,11.88387,66.5,45.6,79.8,6.33545,647.48175,0,1.141743869969811
255,1718.7844699999994,13.190520000000001,65.5,45.6,78.8,7.616110000000001,898.97625,8,0.34490855733754744
260,1427.07027,10.9294,65.5,45.6,77.8,6.55117,494.29897,0,0.7531556065989351
265,1298.57677,9.95492,63.5,45.6,75.8,6.01262,383.86259,5,0.9191449998005364
270,1338.82666,10.169030000000001,63.5,45.6,73.8,6.48942,411.33575,0,1.3933118083164422
275,1334.68468,10.14701,62.5,44.6,71.8,4.93759,411.76081,11,1.2320831570228816
280,1435.99976,11.06347,62.5,44.6,69.8,6.0026699999999975,523.8498099999998,5,0.9356932388113978
285,1673.0119,12.78432,62.5,43.6,67.8,7.6135600000000005,816.85994,8,0.27981217990425045
290,1687.4340399999999,12.90038,62.5,43.6,66.8,7.27337,831.52856,8,0.7610091880415706
295,1594.52319,12.28207,62.5,43.6,64.8,5.8868,714.82825,13,1.4303833345788144
300,1498.92586,11.519689999999999,62.5,42.6,63.8,6.938510000000001,591.75306,0,0.44627985253463853
305,1552.26223,11.9319,61.5,42.6,62.8,6.7283300000000015,660.99231,0,0.7438332695452207
310,1636.34885,12.53219,61.5,42.6,60.8,7.7007,764.462,8,0.6988520778293215
315,1562.84241,11.90789,61.5,41.6,59.8,7.4256199999999986,654.3480000000002,0,1.6501386696458804
320,1595.3785,12.21604,61.5,41.6,58.8,6.47694,709.3335599999997,13,0.9583317342271134
325,1509.0707400000001,11.48368,61.5,41.6,57.8,5.45204,593.86775,5,1.3191145932950177
330,1468.7609300000001,11.31959,60.5,40.6,56.8,6.7988399999999976,565.34038,0,0.09431792782051963
335,1588.18995,12.09798,60.5,40.6,55.8,6.56743,685.32175,0,1.028987593871322
340,1737.70897,13.292570000000001,60.5,40.6,55.8,7.15936,914.51406,8,1.0891108254767308
345,1750.40519,13.404620000000001,60.5,39.6,54.8,8.40245,1143.9206199999999,4,1.1433984161950452
350,1745.7227899999998,13.41663,60.5,39.6,54.8,8.58752,1289.62175,12,0.7404014998595169
355,1763.73163,13.412629999999998,61.5,39.6,53.8,8.105360000000001,995.191,4,1.3267299425254209
360,1572.38725,12.09998,61.5,39.6,53.8,6.942310000000001,689.54925,0,1.0537232662072369
365,1525.98431,11.60173,61.5,39.6,52.8,5.9044300000000005,607.40075,5,1.3872866425953112
370,1595.06332,12.19603,61.5,39.6,52.8,6.42366,704.80481,13,0.9829982493029836
375,1689.2949600000006,12.9504,60.5,38.6,52.8,5.79905,851.21069,13,1.2943899721941918
380,1727.9841,13.322579999999999,60.5,38.6,51.8,8.32722,906.1021199999999,8,1.5612919989680512
