,Generator_speed,Rotor_speed,Gearbox_oil_temperature,Generator_bearing_temperature_drive,Generator_bearing_temperature_nondrive,wind_speed,active_power,category,distance
280,1435.99976,11.06347,62.5,44.6,69.8,6.002669999999998,523.8498099999998,3,1.2436082259598944
285,1673.0119,12.78432,62.5,43.6,67.8,7.61356,816.85994,4,0.6402821017623452
290,1687.43404,12.90038,62.5,43.6,66.8,7.27337,831.52856,4,0.7211520989029757
295,1594.52319,12.28207,62.5,43.6,64.8,5.8868,714.82825,9,1.271915393072597
300,1498.92586,11.51969,62.5,42.6,63.8,6.938510000000001,591.75306,9,0.7753965140742197
305,1552.26223,11.9319,61.5,42.6,62.8,6.7283300000000015,660.99231,9,0.2944853862135956
310,1636.34885,12.53219,61.5,42.6,60.8,7.7007,764.462,4,0.9959406951959988
315,1562.84241,11.90789,61.5,41.6,59.8,7.4256199999999986,654.3480000000001,9,1.536689271466694
320,1595.3785,12.21604,61.5,41.6,58.8,6.47694,709.3335599999998,9,0.38490967816631394
325,1509.07074,11.48368,61.5,41.6,57.8,5.45204,593.86775,3,1.3752718935389183
330,1468.76093,11.31959,60.5,40.6,56.8,6.798839999999998,565.34038,9,0.7014080355745042
335,1588.18995,12.09798,60.5,40.6,55.8,6.56743,685.32175,9,0.19852357742793206
340,1737.70897,13.29257,60.5,40.6,55.8,7.15936,914.51406,4,0.6824970872628465
345,1750.40519,13.40462,60.5,39.6,54.8,8.40245,1143.92062,1,0.8101487764798789
350,1745.7227899999998,13.41663,60.5,39.6,54.8,8.58752,1289.62175,1,0.6120204720868635
355,1763.73163,13.412629999999998,61.5,39.6,53.8,8.105360000000001,995.191,4,1.1011807979717896
360,1572.38725,12.09998,61.5,39.6,53.8,6.942310000000001,689.54925,9,0.7101098346483691
365,1525.98431,11.60173,61.5,39.6,52.8,5.9044300000000005,607.40075,9,1.217146098973513
370,1595.06332,12.19603,61.5,39.6,52.8,6.42366,704.80481,9,0.4097291042023105
375,1689.2949600000004,12.9504,60.5,38.6,52.8,5.79905,851.21069,9,1.8553125187553858
380,1727.9841,13.32258,60.5,38.6,51.8,8.32722,906.10212,4,1.3793217365963952
385,1759.45466,13.47866,60.5,38.6,51.8,7.586880000000002,1154.21475,1,1.3563524406198426
390,1738.69942,13.38862,60.5,38.6,51.8,8.24259,1107.8635,1,0.9891848165513908
395,1754.35211,13.412629999999998,61.5,38.6,51.8,9.13284,1380.54075,7,1.3818314393290534
400,1741.8808399999998,13.41663,61.5,38.6,50.8,8.94278,1456.80162,7,0.9226135592235564
405,1760.37017,13.422629999999998,61.5,38.6,50.8,7.3745699999999985,1137.7845,4,1.4171828054823894
410,1754.95245,13.45865,61.5,38.6,50.8,7.14111,1020.10612,4,0.963299486088473
415,1741.49087,13.42664,61.5,38.6,50.8,7.451010000000001,1131.21675,4,1.3537173959274178
420,1622.9622,12.50218,61.5,38.6,50.8,6.5166,770.297,9,0.7435351385507925
425,1759.93486,13.40262,61.5,38.6,50.8,6.747089999999999,955.07394,4,1.4294285207348587
430,1757.5186600000004,13.38262,61.5,38.6,50.8,7.4611100000000015,1155.02025,4,1.5001465893631019
435,1763.94185,13.43264,61.5,37.6,50.8,7.8003300000000015,1065.65475,4,1.0341006711006655
440,1749.9700300000004,13.39262,61.5,37.6,50.8,7.33058,950.09694,4,0.4329063922470382
445,1761.2104600000002,13.394620000000002,61.5,37.6,50.8,7.293539999999999,974.36075,4,0.5722962771742941
450,1695.59802,12.97842,61.5,37.6,49.8,7.267239999999998,846.46694,4,0.6623284091740274
455,1670.55079,12.78232,61.5,37.6,49.8,6.66852,815.7655599999998,9,1.0437516342328366
460,1756.0479999999998,13.36661,61.5,37.6,49.8,6.95955,925.37194,4,1.03601684587025
465,1744.53714,13.44464,61.5,37.6,49.8,7.536589999999999,982.37119,4,0.4096880136317058
470,1759.64971,13.394620000000002,61.5,37.6,49.8,8.42183,1202.91275,1,0.49869530851306426
