,date,Generator_speed,Rotor_speed,Gearbox_oil_temperature,Generator_bearing_temperature_drive,Generator_bearing_temperature_nondrive,wind_speed,active_power,category,distance
210,2018-07-01 03:31:00.000,1737.6789399999998,13.36461,67.5,45.6,79.8,9.08759,1937.50762,7,1.4407891066819514
215,2018-07-01 03:36:00.000,1760.9553399999998,13.496670000000002,67.5,45.6,79.8,10.14919,2060.95512,7,1.2996692064082913
220,2018-07-01 03:41:00.000,1757.38367,13.52268,67.5,45.6,79.8,10.21185,2061.61075,7,1.4337241718840357
225,2018-07-01 03:46:00.000,1736.7033600000002,13.32258,67.5,45.6,79.8,9.48039,2054.5933800000007,7,0.733494415748498
230,2018-07-01 03:51:00.000,1750.5552,13.43264,67.5,45.6,79.8,9.87106,2041.38925,7,0.6671712196784073
235,2018-07-01 03:56:00.000,1750.0449600000004,13.40262,67.5,45.6,79.8,10.11286,1867.12188,7,1.4509262079546552
240,2018-07-01 04:01:00.000,1754.5772,13.42063,67.5,45.6,79.8,9.8617,1620.39412,1,1.4621650612222645
245,2018-07-01 04:07:00.000,1741.16052,13.43064,67.5,45.6,79.8,7.65773,971.80044,10,0.9459845001258049
250,2018-07-01 04:12:00.000,1560.89155,11.88387,66.5,45.6,79.8,6.33545,647.48175,6,1.0464269446982675
255,2018-07-01 04:17:00.000,1718.7844699999996,13.19052,65.5,45.6,78.8,7.616110000000001,898.97625,10,0.5195275354892099
260,2018-07-01 04:22:00.000,1427.07027,10.9294,65.5,45.6,77.8,6.55117,494.29897,6,0.7469091978102117
265,2018-07-01 04:27:00.000,1298.57677,9.95492,63.5,45.6,75.8,6.01262,383.86259,9,0.9476205584832756
270,2018-07-01 04:32:00.000,1338.82666,10.16903,63.5,45.6,73.8,6.48942,411.33575,6,1.4074429254209218
275,2018-07-01 04:37:00.000,1334.68468,10.14701,62.5,44.6,71.8,4.93759,411.76081,2,1.1794195299168122
280,2018-07-01 04:42:00.000,1435.99976,11.06347,62.5,44.6,69.8,6.002669999999998,523.8498099999998,9,0.8326787486315212
285,2018-07-01 04:47:00.000,1673.0119,12.78432,62.5,43.6,67.8,7.61356,816.85994,10,0.45259075012083366
290,2018-07-01 04:52:00.000,1687.43404,12.90038,62.5,43.6,66.8,7.27337,831.52856,10,1.096957530638324
295,2018-07-01 04:57:00.000,1594.52319,12.28207,62.5,43.6,64.8,5.8868,714.82825,0,1.8409860248848775
300,2018-07-01 05:02:00.000,1498.92586,11.51969,62.5,42.6,63.8,6.938510000000001,591.75306,6,0.511640391061326
305,2018-07-01 05:07:00.000,1552.26223,11.9319,61.5,42.6,62.8,6.7283300000000015,660.99231,6,0.6944433076514285
310,2018-07-01 05:12:00.000,1636.34885,12.53219,61.5,42.6,60.8,7.7007,764.462,10,0.6663920569895182
315,2018-07-01 05:17:00.000,1562.84241,11.90789,61.5,41.6,59.8,7.4256199999999986,654.3480000000001,6,1.714775371568556
320,2018-07-01 05:22:00.000,1595.3785,12.21604,61.5,41.6,58.8,6.47694,709.3335599999998,6,1.2127759724938996
325,2018-07-01 05:27:00.000,1509.07074,11.48368,61.5,41.6,57.8,5.45204,593.86775,9,1.2302265623380784
330,2018-07-01 05:32:00.000,1468.76093,11.31959,60.5,40.6,56.8,6.798839999999998,565.34038,6,0.19192618738978542
335,2018-07-01 05:37:00.000,1588.18995,12.09798,60.5,40.6,55.8,6.56743,685.32175,6,0.953552779578319
340,2018-07-01 05:42:00.000,1737.70897,13.29257,60.5,40.6,55.8,7.15936,914.51406,0,1.2629684133712193
345,2018-07-01 05:47:00.000,1750.40519,13.40462,60.5,39.6,54.8,8.40245,1143.92062,11,1.315283254740738
350,2018-07-01 05:52:00.000,1745.7227899999998,13.41663,60.5,39.6,54.8,8.58752,1289.62175,8,0.5749285773774201
355,2018-07-01 05:57:00.000,1763.73163,13.412629999999998,61.5,39.6,53.8,8.105360000000001,995.191,10,1.2547273668100256
360,2018-07-01 06:02:00.000,1572.38725,12.09998,61.5,39.6,53.8,6.942310000000001,689.54925,6,1.0503706691346857
365,2018-07-01 06:07:00.000,1525.98431,11.60173,61.5,39.6,52.8,5.9044300000000005,607.40075,9,1.2629632075121164
370,2018-07-01 06:12:00.000,1595.06332,12.19603,61.5,39.6,52.8,6.42366,704.80481,6,1.2408275511425144
375,2018-07-01 06:17:00.000,1689.2949600000004,12.9504,60.5,38.6,52.8,5.79905,851.21069,0,1.671237807873549
380,2018-07-01 06:22:00.000,1727.9841,13.32258,60.5,38.6,51.8,8.32722,906.10212,10,1.1844109996828494
385,2018-07-01 06:27:00.000,1759.45466,13.47866,60.5,38.6,51.8,7.586880000000002,1154.21475,11,0.4516045486311113
390,2018-07-01 06:32:00.000,1738.69942,13.38862,60.5,38.6,51.8,8.24259,1107.8635,11,1.0759221798110101
395,2018-07-01 06:37:00.000,1754.35211,13.412629999999998,61.5,38.6,51.8,9.13284,1380.54075,8,0.9816006373787198
400,2018-07-01 06:42:00.000,1741.8808399999998,13.41663,61.5,38.6,50.8,8.94278,1456.80162,8,0.8757420662682092
405,2018-07-01 06:47:00.000,1760.37017,13.422629999999998,61.5,38.6,50.8,7.3745699999999985,1137.7845,11,0.9176902703968908
410,2018-07-01 06:52:00.000,1754.95245,13.45865,61.5,38.6,50.8,7.14111,1020.10612,0,1.6662802860971548
415,2018-07-01 06:57:00.000,1741.49087,13.42664,61.5,38.6,50.8,7.451010000000001,1131.21675,11,0.7823984307218017
420,2018-07-01 07:02:00.000,1622.9622,12.50218,61.5,38.6,50.8,6.5166,770.297,0,0.6908229532164394
425,2018-07-01 07:07:00.000,1759.93486,13.40262,61.5,38.6,50.8,6.747089999999999,955.07394,0,0.7835167476143995
430,2018-07-01 07:12:00.000,1757.5186600000004,13.38262,61.5,38.6,50.8,7.4611100000000015,1155.02025,11,0.7085952697881907
435,2018-07-01 07:17:00.000,1763.94185,13.43264,61.5,37.6,50.8,7.8003300000000015,1065.65475,11,0.8063873298213322
440,2018-07-01 07:22:00.000,1749.9700300000004,13.39262,61.5,37.6,50.8,7.33058,950.09694,10,1.2194072117976775
445,2018-07-01 07:27:00.000,1761.2104600000002,13.394620000000002,61.5,37.6,50.8,7.293539999999999,974.36075,10,1.3934096879323483
450,2018-07-01 07:32:00.000,1695.59802,12.97842,61.5,37.6,49.8,7.267239999999998,846.46694,10,1.101250855916462
455,2018-07-01 07:37:00.000,1670.55079,12.78232,61.5,37.6,49.8,6.66852,815.7655599999998,0,0.3688627176760761
460,2018-07-01 07:42:00.000,1756.0479999999998,13.36661,61.5,37.6,49.8,6.95955,925.37194,0,0.9161094815809021
465,2018-07-01 07:47:00.000,1744.53714,13.44464,61.5,37.6,49.8,7.536589999999999,982.37119,10,1.1184977193655234
470,2018-07-01 07:52:00.000,1759.64971,13.394620000000002,61.5,37.6,49.8,8.42183,1202.91275,8,1.2737265220581675
475,2018-07-01 07:57:00.000,1751.29053,13.42063,61.5,37.6,49.8,8.3958,1326.22,8,0.5965379764605295
480,2018-07-01 08:02:00.000,1741.07058,13.44464,61.5,37.6,49.8,7.689139999999999,1224.90563,11,0.4475682525425446
485,2018-07-01 08:08:00.000,1759.55962,13.46065,61.5,37.6,49.8,8.00271,1099.93212,11,0.7095310617130376
490,2018-07-01 08:13:00.000,1752.9563899999996,13.412629999999998,61.5,37.6,49.8,8.22212,1163.88663,11,0.9178616386929493
495,2018-07-01 08:18:00.000,1749.8048600000004,13.38262,61.5,37.6,49.8,6.95935,937.72281,0,0.9683862079116469
500,2018-07-01 08:23:00.000,1755.7777199999996,13.44665,61.5,37.6,49.8,9.37019,1338.24975,8,1.4732402373833058
505,2018-07-01 08:28:00.000,1717.94404,13.1485,61.5,37.6,49.8,7.30038,887.61125,10,1.0683054062312545
510,2018-07-01 08:33:00.000,1716.44335,13.11648,61.5,37.6,49.8,6.11411,876.31438,0,1.0137076441513018
515,2018-07-01 08:38:00.000,1619.5253699999996,12.50018,61.5,36.6,49.8,6.00811,763.63181,0,1.42606131024171
520,2018-07-01 08:43:00.000,1508.78573,11.57172,61.5,36.6,49.8,6.13163,602.62094,6,1.3456578902375917
525,2018-07-01 08:48:00.000,1453.75347,11.17752,60.5,36.6,49.8,4.6376800000000005,544.12212,2,2.6254656156345617
530,2018-07-01 08:53:00.000,1447.52549,11.10549,60.5,36.6,48.8,5.04087,529.5285,9,1.6432848087839553
535,2018-07-01 08:58:00.000,1497.69531,11.38363,60.5,36.6,48.8,5.5268,578.26738,9,1.0379907326793827
540,2018-07-01 09:03:00.000,1600.34605,12.20403,60.5,36.6,48.8,5.8158,712.8939999999999,9,2.0623544919071954
545,2018-07-01 09:08:00.000,1667.0539,12.84835,60.5,36.6,47.8,7.60085,823.22,10,0.45215761599096
550,2018-07-01 09:13:00.000,1595.18344,12.17402,60.5,35.6,47.8,6.02538,704.4288799999998,0,1.6682601501561505
555,2018-07-01 09:18:00.000,1484.02351,11.42365,59.5,35.6,47.8,6.122719999999998,578.68525,9,1.3377906401502149
560,2018-07-01 09:23:00.000,1473.38327,11.29158,59.5,35.6,47.8,6.73665,562.029,6,0.10620937335939057
565,2018-07-01 09:28:00.000,1468.38569,11.25356,59.5,35.6,47.8,6.77871,553.86838,6,0.21130721368648506
570,2018-07-01 09:33:00.000,1270.18281,9.73681,58.5,35.6,46.8,4.34725,361.89278,2,1.8385640791407396
575,2018-07-01 09:38:00.000,1197.5018699999996,9.15252,58.5,35.6,46.8,4.81752,299.59212,2,0.42718917558709735
580,2018-07-01 09:43:00.000,1232.27405,9.47868,57.5,35.6,45.8,4.4150800000000014,332.9624100000001,2,1.5726998434617194
585,2018-07-01 09:48:00.000,1258.9122,9.66878,57.5,34.6,45.8,4.8685800000000015,351.15156,2,0.6496918495341903
590,2018-07-01 09:53:00.000,1271.78861,9.66077,57.5,34.6,44.8,5.66498,347.47803,9,0.9544982886432193
595,2018-07-01 09:58:00.000,1420.03188,10.88738,56.5,34.6,44.8,5.3198,500.23031,9,0.9570552565381144
600,2018-07-01 10:03:00.000,1529.90105,11.62375,56.5,34.6,44.8,7.04626,610.72406,6,0.7908292120688089
605,2018-07-01 10:08:00.000,1493.49312,11.47367,56.5,34.6,44.8,5.93323,587.3458099999998,9,1.1382827937700877
610,2018-07-01 10:13:00.000,1510.06148,11.56972,56.5,34.6,43.8,6.1569,604.3508099999998,6,1.2920418455477884
615,2018-07-01 10:18:00.000,1554.22811,11.91189,56.5,33.6,43.8,6.67117,659.13256,6,0.6881687991715527
620,2018-07-01 10:23:00.000,1638.99014,12.61424,56.5,33.6,43.8,6.40966,777.24131,0,0.729492117466328
625,2018-07-01 10:28:00.000,1581.93179,12.05596,57.5,33.6,43.8,5.822780000000002,687.22631,9,1.8555172599713263
630,2018-07-01 10:33:00.000,1579.8459300000004,12.09798,57.5,33.6,43.8,6.5705300000000015,694.2835,6,1.018572160632099
635,2018-07-01 10:38:00.000,1696.4684899999993,12.99242,57.5,33.6,43.8,6.853339999999998,850.14925,0,0.5556002759342423
640,2018-07-01 10:43:00.000,1679.66017,12.79833,57.5,33.6,43.8,6.747910000000001,806.28125,0,0.5197854340568525
645,2018-07-01 10:48:00.000,1449.58146,11.10149,57.5,33.6,43.8,5.12211,535.09406,9,1.485465086509385
650,2018-07-01 10:53:00.000,1266.23589,9.7148,57.5,33.6,43.8,5.04694,354.3675,2,0.6521924169380714
655,2018-07-01 10:58:00.000,1297.61636,9.95892,57.5,33.6,43.8,5.37859,385.15641,9,1.0019060671194553
660,2018-07-01 11:03:00.000,1314.10949,10.08098,57.5,33.6,43.8,5.3678,394.72966,9,0.9739918961964522
665,2018-07-01 11:08:00.000,1323.56408,10.13101,56.5,33.6,43.8,4.2885300000000015,408.58184,2,2.1877602315573457
670,2018-07-01 11:13:00.000,1346.55563,10.24306,56.5,33.6,42.8,5.62105,422.39634,9,0.3956400728568223
675,2018-07-01 11:18:00.000,1446.29479,11.15551,56.5,33.6,42.8,6.17181,537.57925,9,1.2208563391489338
680,2018-07-01 11:23:00.000,1537.23976,11.71779,56.5,33.6,42.8,5.7783,632.05519,9,1.393898271356837
685,2018-07-01 11:28:00.000,1627.05913,12.43615,56.5,33.6,42.8,6.10981,752.502,0,1.296220154170122
690,2018-07-01 11:33:00.000,1457.91047,11.17352,56.5,33.6,42.8,6.15525,545.16206,9,1.221110315598951
695,2018-07-01 11:38:00.000,1265.17022,9.73881,56.5,33.6,42.8,4.75568,358.59775,2,0.8829764746498582
700,2018-07-01 11:43:00.000,1356.25032,10.3111,56.5,33.6,42.8,5.85305,425.35019000000005,9,0.4465783035871436
705,2018-07-01 11:48:00.000,1523.5379300000004,11.67977,56.5,33.6,42.8,7.08628,616.98988,6,0.8933091999835324
710,2018-07-01 11:53:00.000,1456.0195199999996,11.05947,56.5,33.6,42.8,5.62167,527.0015,9,0.5652794890915758
715,2018-07-01 11:58:00.000,1466.40479,11.26357,56.5,33.6,42.8,6.81894,556.7681299999998,6,0.26405126896916487
720,2018-07-01 12:03:00.000,1709.11966,13.10248,56.5,33.6,42.8,7.07468,884.5563800000001,0,1.0332973794174276
