,date,Generator_speed,Rotor_speed,Gearbox_oil_tem,Generator_bearing_tem_drive,Generator_bearing_tem_nondrive,wind_speed,active_power
55,2018-01-01 09:10:00.000,1095.9316800000001,8.41816,52.9,26.1,36.4,4.2689699999999995,142.75445
56,2018-01-01 09:20:00.000,1231.14846,9.430660000000001,52.9,25.1,35.4,5.10947,324.48753
57,2018-01-01 09:30:00.000,1185.8111199999996,9.07448,52.9,25.1,35.4,5.67033,288.29556
58,2018-01-01 09:40:00.000,1362.31328,10.46317,53.9,25.1,35.4,4.97474,445.50853
59,2018-01-01 09:50:00.000,1132.57978,8.7003,54.9,25.1,36.4,4.66001,254.88052000000002
60,2018-01-01 10:00:00.000,1095.7966099999999,8.42416,54.9,26.1,37.4,2.70078,42.02905
61,2018-01-01 10:23:00.000,1105.80656,8.42416,52.9,24.1,34.4,4.44148,115.93433999999999
62,2018-01-01 10:33:00.000,1102.26477,8.43817,52.9,24.1,34.4,3.25963,62.8675
63,2018-01-01 10:45:00.000,1094.70105,8.436169999999999,53.9,25.1,35.4,2.99925,37.404959999999996
65,2018-01-01 14:46:00.000,1105.04113,8.42416,46.9,27.1,33.4,2.78357,6.9260100000000016
67,2018-01-01 15:34:00.000,1101.61946,8.42817,47.9,27.1,33.4,2.6987799999999997,51.9488
68,2018-01-01 15:46:00.000,1099.80359,8.42416,48.9,27.1,35.4,3.9654,21.024070000000002
69,2018-01-01 15:56:00.000,1107.81756,8.442169999999999,48.9,28.1,35.4,3.04738,120.68765
70,2018-01-01 16:06:00.000,1099.02322,8.42817,48.9,29.1,36.4,3.52279,117.8413
71,2018-01-01 16:16:00.000,1101.6344800000004,8.43417,49.9,29.1,37.4,3.7313199999999997,116.02436000000002
72,2018-01-01 16:26:00.000,1094.9112,8.43217,49.9,30.1,38.4,2.9521599999999997,42.29306
73,2018-01-01 17:59:00.000,1107.3523,8.436169999999999,45.9,27.1,33.4,3.60515,140.43023
74,2018-01-01 18:09:00.000,1101.70956,8.442169999999999,46.9,26.1,33.4,2.68608,91.18815
75,2018-01-01 18:19:00.000,1103.3604,8.442169999999999,47.9,26.1,33.4,3.69541,141.13147
76,2018-01-01 18:29:00.000,1099.75855,8.42216,47.9,27.1,34.4,4.18145,150.21925
77,2018-01-01 18:39:00.000,1102.4599,8.4882,48.9,27.1,35.4,4.3781,237.40762
78,2018-01-01 18:49:00.000,1100.6439599999999,8.42817,48.9,28.1,36.4,3.5252,166.28197
79,2018-01-01 18:59:00.000,1099.8485699999999,8.442169999999999,49.9,28.1,37.4,4.2518199999999995,201.81842
