Generator_speed,Rotor_speed,Gearbox_oil_temperature,Generator_bearing_temperature_drive,Generator_bearing_temperature_nondrive,wind_speed,active_power
1738.69942,13.38862,60.5,38.6,51.8,8.24259,1107.8635
1754.35211,13.412629999999998,61.5,38.6,51.8,9.13284,1380.54075
1741.8808399999998,13.41663,61.5,38.6,50.8,8.94278,1456.80162
1760.37017,13.422629999999998,61.5,38.6,50.8,7.3745699999999985,1137.7845
1754.95245,13.45865,61.5,38.6,50.8,7.14111,1020.10612
1741.49087,13.42664,61.5,38.6,50.8,7.451010000000001,1131.21675
1622.9622,12.50218,61.5,38.6,50.8,6.5166,770.297
1759.93486,13.40262,61.5,38.6,50.8,6.747089999999999,955.07394
1757.5186600000006,13.38262,61.5,38.6,50.8,7.4611100000000015,1155.02025
1763.94185,13.43264,61.5,37.6,50.8,7.8003300000000015,1065.65475
1749.9700300000006,13.39262,61.5,37.6,50.8,7.33058,950.09694
1761.2104600000002,13.394620000000002,61.5,37.6,50.8,7.293539999999999,974.36075
1695.59802,12.97842,61.5,37.6,49.8,7.267239999999997,846.46694
1670.55079,12.78232,61.5,37.6,49.8,6.66852,815.7655599999997
1756.0479999999998,13.36661,61.5,37.6,49.8,6.95955,925.37194
1744.53714,13.44464,61.5,37.6,49.8,7.536589999999999,982.37119
1759.64971,13.394620000000002,61.5,37.6,49.8,8.42183,1202.91275
1751.29053,13.42063,61.5,37.6,49.8,8.3958,1326.22
1741.07058,13.44464,61.5,37.6,49.8,7.689139999999999,1224.90563
1759.55962,13.46065,61.5,37.6,49.8,8.00271,1099.93212
1752.9563899999994,13.412629999999998,61.5,37.6,49.8,8.22212,1163.88663
1749.8048600000006,13.38262,61.5,37.6,49.8,6.95935,937.72281
1755.7777199999994,13.44665,61.5,37.6,49.8,9.37019,1338.24975
1717.94404,13.1485,61.5,37.6,49.8,7.30038,887.61125
1716.44335,13.11648,61.5,37.6,49.8,6.11411,876.31438
1619.5253699999994,12.50018,61.5,36.6,49.8,6.00811,763.63181
1508.78573,11.57172,61.5,36.6,49.8,6.13163,602.62094
1447.52549,11.10549,60.5,36.6,48.8,5.04087,529.5285
1497.69531,11.38363,60.5,36.6,48.8,5.5268,578.26738
1600.34605,12.20403,60.5,36.6,48.8,5.8158,712.8939999999999
1667.0539,12.84835,60.5,36.6,47.8,7.60085,823.22
1595.18344,12.17402,60.5,35.6,47.8,6.02538,704.4288799999997
1484.02351,11.42365,59.5,35.6,47.8,6.1227199999999975,578.68525
1473.38327,11.29158,59.5,35.6,47.8,6.73665,562.029
1468.38569,11.25356,59.5,35.6,47.8,6.77871,553.86838
1270.18281,9.73681,58.5,35.6,46.8,4.34725,361.89278
1197.5018699999996,9.15252,58.5,35.6,46.8,4.81752,299.59212
1232.27405,9.47868,57.5,35.6,45.8,4.4150800000000014,332.9624100000001
1258.9122,9.66878,57.5,34.6,45.8,4.8685800000000015,351.15156
1271.78861,9.66077,57.5,34.6,44.8,5.66498,347.47803
1420.03188,10.88738,56.5,34.6,44.8,5.3198,500.23031
1529.90105,11.62375,56.5,34.6,44.8,7.04626,610.72406
1493.49312,11.47367,56.5,34.6,44.8,5.93323,587.3458099999998
1510.06148,11.56972,56.5,34.6,43.8,6.1569,604.3508099999998
1554.22811,11.91189,56.5,33.6,43.8,6.67117,659.13256
1638.99014,12.61424,56.5,33.6,43.8,6.40966,777.24131
1581.93179,12.05596,57.5,33.6,43.8,5.8227800000000025,687.22631
1579.8459300000006,12.09798,57.5,33.6,43.8,6.5705300000000015,694.2835
1696.4684899999993,12.99242,57.5,33.6,43.8,6.8533399999999975,850.14925
1679.66017,12.79833,57.5,33.6,43.8,6.747910000000001,806.28125
1449.58146,11.10149,57.5,33.6,43.8,5.12211,535.09406
1266.23589,9.7148,57.5,33.6,43.8,5.04694,354.3675
1297.61636,9.95892,57.5,33.6,43.8,5.37859,385.15641
1314.10949,10.08098,57.5,33.6,43.8,5.3678,394.72966
1346.55563,10.24306,56.5,33.6,42.8,5.62105,422.39634
1446.29479,11.15551,56.5,33.6,42.8,6.17181,537.57925
1537.23976,11.71779,56.5,33.6,42.8,5.7783,632.05519
1627.05913,12.43615,56.5,33.6,42.8,6.10981,752.502
1457.91047,11.17352,56.5,33.6,42.8,6.15525,545.16206
1265.17022,9.73881,56.5,33.6,42.8,4.75568,358.59775
1356.25032,10.3111,56.5,33.6,42.8,5.85305,425.35019000000005
1523.5379300000006,11.67977,56.5,33.6,42.8,7.08628,616.98988
1456.0195199999994,11.05947,56.5,33.6,42.8,5.62167,527.0015
1466.40479,11.26357,56.5,33.6,42.8,6.81894,556.7681299999998
1709.11966,13.10248,56.5,33.6,42.8,7.07468,884.5563800000001
1550.47625,11.88988,56.5,33.6,42.8,5.76654,654.60938
1546.12405,11.84385,56.5,33.6,42.8,6.0397300000000005,646.44188
1624.70314,12.44215,56.5,33.6,42.8,6.89467,746.16162
1477.22522,11.25156,56.5,33.6,42.8,5.6095,552.9340599999998
1261.85366,9.68279,56.5,33.6,42.8,4.50894,354.02281
1361.50288,10.49319,56.5,33.6,42.8,5.66834,443.01034
1614.54296,12.3501,56.5,33.6,42.8,7.09163,720.63306
1614.13783,12.27607,56.5,33.6,42.8,7.01484,718.1593799999997
1748.19906,13.40262,57.5,33.6,42.8,8.02135,1087.05788
1746.14294,13.37061,57.5,33.6,42.8,8.00357,935.75244
1676.14841,12.90238,58.5,33.6,42.8,6.846,823.5276200000003
1712.6464399999998,13.19652,58.5,33.6,42.8,8.005419999999999,886.23881
1561.08661,12.00393,58.5,33.6,42.8,6.2212,675.54794
1620.7861,12.47817,58.5,33.6,42.8,6.7509,739.03444
1737.6789399999998,13.31458,58.5,33.6,42.8,6.56165,927.05969
1752.05589,13.422629999999998,58.5,33.6,42.8,8.32431,1110.00625
1757.6836899999994,13.38662,59.5,33.6,43.8,9.19778,1772.49475
1751.75587,13.39862,60.5,33.6,43.8,8.29626,1361.227
1739.26958,13.38061,60.5,33.6,43.8,8.42715,1347.71425
1744.4922399999994,13.37461,61.5,33.6,44.8,9.3722,1518.11275
1760.73025,13.45865,61.5,33.6,45.8,8.22625,1459.10362
1744.58234,13.40262,62.5,34.6,46.8,8.44662,1847.42512
1738.27913,13.40462,62.5,34.6,46.8,9.62049,1869.47575
1765.65261,13.44665,62.5,34.6,47.8,10.02428,2027.30338
1748.39412,13.43064,63.5,35.6,48.8,9.83851,1635.94675
1750.78029,13.46265,63.5,35.6,48.8,9.68363,1868.95662
1752.83641,13.41063,63.5,35.6,49.8,7.59612,1170.17288
1772.22595,13.48867,63.5,35.6,49.8,9.64365,1861.47338
1742.0309899999993,13.3566,63.5,36.6,50.8,9.51317,1889.38575
1738.51923,13.37661,63.5,36.6,50.8,8.017539999999999,1025.2808699999996
1752.40125,13.41663,63.5,36.6,50.8,7.54091,1252.64325
1740.3501199999994,13.39862,63.5,36.6,51.8,8.54149,1294.44838
1746.42809,13.3506,63.5,36.6,51.8,7.952339999999999,928.95719
1670.55079,12.72029,63.5,36.6,51.8,6.42663,790.5785599999997
1365.28477,10.42115,62.5,36.6,51.8,4.86345,449.37519
1310.68782,10.04697,61.5,36.6,50.8,5.91135,401.39525
1277.1911699999996,9.7068,60.5,36.6,50.8,6.01072,353.41253
1175.27583,8.95242,59.5,36.6,49.8,5.4931800000000015,273.72078
1125.03108,8.62026,58.5,36.6,48.8,4.38224,247.25475
1296.55083,9.90289,58.5,36.6,48.8,6.12167,369.65153
1397.6558300000006,10.73331,58.5,36.6,47.8,5.58452,478.03656
1465.6394300000006,11.16352,58.5,35.6,46.8,5.74161,544.52756
1465.1140300000006,11.29558,58.5,35.6,46.8,6.0207,564.6904400000002
1453.51337,11.16152,58.5,35.6,46.8,5.2252,541.41
1718.04915,13.23054,58.5,35.6,45.8,6.7783,912.565
1278.692,9.86087,58.5,34.6,45.8,5.3101699999999985,369.56216
1458.4659,11.16752,57.5,34.6,45.8,5.44336,539.6453700000002
1748.21393,13.44064,57.5,34.6,45.8,8.36139,1160.9203699999996
1738.74432,13.36461,58.5,34.6,45.8,8.20996,1226.44363
1728.11909,13.29257,59.5,34.6,45.8,8.92322,1858.1779999999999
1749.11443,13.48066,59.5,34.6,45.8,9.79256,1796.7345
1748.28915,13.412629999999998,60.5,34.6,45.8,9.01139,1737.76975
1747.7036899999994,13.47866,60.5,34.6,45.8,8.42549,1335.51625
1738.74432,13.40462,60.5,34.6,45.8,6.14164,1048.11694
1759.18452,13.38862,60.5,34.6,45.8,7.5987399999999985,1096.34025
1738.41427,13.30257,60.5,34.6,45.8,6.809,914.4110000000001
1740.63527,13.3566,60.5,34.6,45.8,7.99283,1058.01613
1764.51215,13.42463,61.5,34.6,45.8,7.89175,1224.52662
